"Forecast_Period","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95","Key1"
"2024 Q1",24130.1583059835,18622.4902865917,29637.8263253753,15706.9069542335,32553.4096577336,"2024-11-05_GNCommercieleDienstverlening_152"
"2024 Q2",126464.235113935,121158.150122923,131770.320104946,118349.278399827,134579.191828042,"2024-11-05_Goederen_16"
"2024 Q2",113408.466724867,108815.331060657,118001.602389077,106383.871913395,120433.061536338,"2024-11-05_Goederen_4"
"2024 Q2",4564.8616558159,4201.7991376021,4927.9241740297,4009.60545000488,5120.11786162692,"2024-11-05_GrondWegEnWaterbouwkundigeWerken_135"
"2024 Q1",7076.6945305749,6131.66663743425,8021.72242371555,5631.39908968928,8521.98997146052,"2024-11-05_Horecadiensten_115"
"2024 Q2",88231.6971338585,86052.2460566642,90411.1482110528,84898.5143480745,91564.8799196426,"2024-11-05_Huishoudens_9"
"2024 Q1",18496.3858686435,18328.2335091777,18664.5382281093,18239.2190270359,18753.5527102511,"2024-11-05_Huisvesting_114"
"2024 Q1",6966.60701652782,6574.99290997718,7358.22112307845,6367.68492450033,7565.5291085553,"2024-11-05_HVervoerEnOpslag_41"
"2024 Q1",3422.91322702538,2849.29423794877,3996.53221610198,2545.63868758017,4300.18776647058,"2024-11-05_IHoreca_42"
"2024 Q2",82.5815156348458,9.83803466947309,155.324996600218,-28.6700380563377,193.833069326029,"2024-11-05_InCultuurGebrachteActiva_142"
"2024 Q2",36654.5519299585,35613.2714317211,37695.832428196,35062.0508326796,38247.0530272375,"2024-11-05_IndividueleConsumptieOverheid_125"
"2024 Q2",38160.7403796637,32275.232224675,44046.2485346524,29159.6324066165,47161.8483527109,"2024-11-05_InvoerDienstenCif_200"
"2024 Q2",114899.520632187,110235.256995494,119563.784268881,107766.144974038,122032.896290337,"2024-11-05_InvoerGoederenCif_197"
"2024 Q2",10970.2819123131,10576.5049384155,11364.0588862107,10368.0520001265,11572.5118244997,"2024-11-05_JInformatieEnCommunicatie_43"
"2024 Q1",3514.48944670849,3346.42803794203,3682.55085547496,3257.46170219214,3771.51719122485,"2024-11-05_k_1012VoedingsGenotmiddelenindustrie_24"
"2024 Q1",255.97648879664,232.254660112603,279.698317480678,219.697082553331,292.25589503995,"2024-11-05_k_1315TextielKledingLederindustrie_25"
"2024 Q1",857.428211974143,823.827353449072,891.029070499213,806.040133390837,908.816290557448,"2024-11-05_k_1618HoutPapierGrafischeIndustr_26"
"2024 Q1",672.764458670322,504.444656580515,841.084260760129,415.341535667813,930.187381672831,"2024-11-05_k_19AardolieIndustrie_27"
"2024 Q1",3256.74391202455,3039.38474903543,3474.10307501367,2924.3217585801,3589.16606546901,"2024-11-05_k_2021ChemieEnFarmaceutischeIndustrie_28"
"2024 Q1",1149.76046912027,1087.92833539095,1211.59260284958,1055.19638098292,1244.32455725762,"2024-11-05_k_2223KunststofEnBouwmateriaalindustr_29"
"2024 Q1",2488.80130667769,2341.814311667,2635.78830168837,2264.00409666898,2713.59851668639,"2024-11-05_k_2425BasismetaalMetaalprodIndustrie_30"
"2024 Q1",2374.80645795882,2183.88020613242,2565.73270978522,2082.80995360907,2666.80296230857,"2024-11-05_k_2627ElektrischeEnElektronIndustrie_31"
"2024 Q1",5930.78894736923,5357.46057277627,6504.11732196219,5053.95886442242,6807.61903031604,"2024-11-05_k_28MachineIndustrie_32"
"2024 Q1",1101.3194147397,979.857551874055,1222.78127760535,915.559525623851,1287.07930385555,"2024-11-05_k_2930Transportmiddelenindustrie_33"
"2024 Q1",1922.26136849485,1825.70537094871,2018.81736604099,1774.591713391,2069.9310235987,"2024-11-05_k_3133OverigeIndustrieEnReparatie_34"
"2024 Q1",1839.00996453174,1680.51180899072,1997.50812007276,1596.607953697,2081.41197536648,"2024-11-05_k_77VerhuurVanRoerendeGoederen_49"
"2024 Q1",4471.43201301543,4153.81758235918,4789.04644367168,3985.68265903457,4957.18136699629,"2024-11-05_k_78UitzendbureausEnArbeidsbemiddeling_50"
"2024 Q1",1394.84137939032,909.21935148742,1880.46340729322,652.146578510796,2137.53618026984,"2024-11-05_k_79ReisbureausReisorganisatieEnInfo_51"
"2024 Q1",3222.3850340348,3094.73771948932,3350.03234858028,3027.16531291021,3417.60475515939,"2024-11-05_k_8082BeveiligingEnOverigeDiensten_52"
"2024 Q2",11897.4159924325,11524.9238228604,12269.9081620046,11327.7383793633,12467.0936055016,"2024-11-05_KFinancieleDienstverlening_44"
